Iteration,MinCost,AvgCost,StdDevCost
0,103487.0,121959.47,6879.780311936207
1,103487.0,121281.61,6678.673709886665
2,103487.0,120733.81,6525.900355382683
3,103487.0,119904.72,6589.552477991356
4,103487.0,119156.87,6633.330821767456
5,103487.0,118542.84,6543.277041268227
6,103487.0,117737.89,6546.504577230277
7,103487.0,117045.32,6454.087297678937
8,103487.0,116465.69,6371.179740579266
9,103007.0,115621.45,6583.023865952255
10,103007.0,115055.26,6427.908280382515
11,103007.0,114468.91,6258.218609439539
12,103007.0,113809.28,6143.911474267542
13,103007.0,113114.93,6016.506137798051
14,103007.0,112571.53,5690.046076494132
15,98028.0,112054.3,5818.461392825253
16,98028.0,111587.09,5566.238023952347
17,98028.0,111139.76,5231.817441367577
18,98028.0,110660.99,4970.002911396827
19,98028.0,110004.11,4954.315759450888
20,98028.0,109924.09,4928.199154966254
21,98028.0,109645.83,4555.688922288996
22,96330.0,108954.0,4702.090802950525
23,96330.0,108392.06,4608.3441554369065
24,96330.0,108051.44,4379.900790629576
25,96330.0,107641.2,4198.830496144556
26,96330.0,107289.41,4054.1459838645237
27,96330.0,107282.39,4043.195075941948
28,96330.0,106686.96,4183.54917448732
29,96330.0,106302.54,4205.738454526005
30,96330.0,105986.15,4059.5345216943633
31,96330.0,105556.03,3988.7516197351015
32,96330.0,105452.12,3882.12601151649
33,96330.0,105068.15,3841.05947183347
34,96330.0,104726.37,3763.1906504744325
35,94329.0,104268.09,3892.1292245901973
36,94329.0,103841.95,3995.7699587352768
37,94329.0,103796.8,3953.9544583348275
38,94329.0,103339.15,3975.9938072198383
39,94329.0,103005.45,3894.0128593765453
40,94329.0,102646.06,3840.136949946373
41,94329.0,102335.94,3751.6751943685645
42,94329.0,102105.02,3607.347398313782
43,94329.0,101865.74,3477.2728825034624
44,94329.0,101471.3,3417.993092119669
45,94329.0,101316.8,3346.5463819987144
46,94329.0,101075.43,3397.0496773232535
47,94329.0,100940.44,3500.7580198487517
48,94329.0,100558.03,3342.8996469526214
49,94329.0,100579.06,3432.6074396510116
50,92982.0,100137.44,3309.902279127548
51,92982.0,100026.4,3209.818334014207
52,92982.0,99823.52,3225.541575323656
53,92982.0,99649.65,3190.301728471285
54,92982.0,99386.3,3062.9891767633944
55,92837.0,99214.97,3256.043141373414
56,92837.0,98948.27,2983.687203847622
57,92837.0,98791.54,2933.313193525903
58,92837.0,98632.58,2767.273829616579
59,92837.0,98399.36,2607.5676483665925
60,92837.0,98216.6,2489.0398294778797
61,92837.0,98204.48,2468.169265842293
62,92837.0,97892.86,2407.032684414232
63,92837.0,97790.6,2286.749923389353
64,92837.0,97772.66,2258.0267295838535
65,92837.0,97566.46,2221.732513607388
66,92837.0,97400.32,2120.9004704739364
67,92837.0,97241.94,2121.1185767339025
68,92837.0,97106.2,2041.8385357467926
69,92837.0,97142.37,2246.0328647181323
70,92837.0,96890.38,1939.1422334672002
71,92382.0,96728.32,1977.3846152854726
72,92382.0,96715.72,1960.500740405704
73,92382.0,96643.42,1920.7637484536554
74,92382.0,96582.58,1875.894820445362
75,92382.0,96562.04,1850.3133773346165
76,92382.0,96490.17,1866.739149323269
77,92382.0,96554.67,2121.807339262803
78,92382.0,96282.8,1808.4453840441815
79,89255.0,96001.2,2004.2381862120847
80,89255.0,95971.44,1974.1399371151813
81,89255.0,95882.29,2133.0376892444665
82,89255.0,95659.3,1983.8929411690042
83,89255.0,95641.7,1963.4867177827027
84,89255.0,95643.88,1966.5148697452794
85,89255.0,95346.82,2115.6830039808265
86,89255.0,95383.85,2194.0397884802233
87,89255.0,95232.88,2120.895462113143
88,89255.0,95224.61,2133.869132029015
89,89255.0,95036.6,2104.9428985273225
90,89255.0,94934.94,2097.5768454638946
91,89231.0,94720.58,2171.4577805071995
92,89231.0,94548.52,2168.2256138896782
93,89231.0,94318.76,2199.5333624487835
94,89231.0,94161.36,2262.3934832675136
95,89231.0,94203.8,2358.38498069584
96,89231.0,93944.18,2220.178504880937
97,88535.0,93727.26,2266.7128320610673
98,88535.0,93735.82,2279.389185326152
99,87124.0,93429.2,2391.019646405054
100,87124.0,93502.76,2590.5892123358167
101,87124.0,93193.12,2385.5081887907822
102,87124.0,93095.94,2322.0561022116117
103,86385.0,92902.94,2467.7206872543397
104,86385.0,92759.62,2472.0611764683376
105,86385.0,92621.23,2525.3339847324046
106,86385.0,92528.24,2465.293799443741
107,86385.0,92324.08,2406.426109357605
108,86385.0,92254.81,2515.472498921084
109,86385.0,92272.88,2583.1020122435284
110,86385.0,92195.76,2465.0465241168586
111,86385.0,92072.26,2284.9039748185073
112,86385.0,91816.16,2279.532827913508
113,86385.0,91530.44,2291.3867192976695
114,86385.0,91314.9,2216.0789674330176
115,86385.0,91178.06,2219.9103122296256
116,86385.0,91202.74,2269.9547346530367
117,86385.0,91070.5,2123.0663953800217
118,86385.0,90903.0,2069.9191610624152
119,86385.0,90810.94,1985.5904387116268
120,86385.0,90654.2,1933.9083784299648
121,86385.0,90574.2,1899.1315399573052
122,86385.0,90548.74,1867.1777851110273
123,85049.0,90295.68,1962.2306358537032
124,85049.0,90337.26,2061.283480815491
125,85049.0,90201.92,1886.9580441022053
126,85049.0,90115.52,1847.7979057802995
127,85049.0,90014.42,1782.418253923358
128,85049.0,90051.48,1870.8292520978632
129,85049.0,90007.03,1849.3648784478319
130,85049.0,89820.18,1690.302222573337
